"Member Name","Event Sponsor","Registrations","Guests","Invited - Not Registered","Attended","Fees","Member Addr1","Member Addr2","Member City","Member State/Province","Member Postal Code","Member Phone","Member Email"
"Stanton Insurance Agency, Inc.","23","42","116","0","0","4190.00","230 Second Avenue, Suite 105",,Waltham,MA,02451,(781) 893-3200,gstanton@stantonins.com
"Newton-Wellesley Hospital","22","47","180","0","0","3960.00",2014 Washington Street,,Newton,MA,02462-1699,(617) 243-6000,pr.radr@nwh.org
"Boston Children's at Waltham","21","25","123","0","0","1000.00",9 Hope Avenue,,Waltham,MA,02453,(781) 216-2100,kristin.driscoll@childrens.harvard.edu
"The Nelson Companies","21","47","155","0","0","5980.00",75 Third Avenue,,Waltham,MA,02451,(781) 890-7600,info@thenelsoncompanies.com
"National Grid","20","35","162","0","0","1020.00",170 Data Drive,,Waltham,MA,02451,(978) 270-5205,Tammy.Saporito@nationalgrid.com
"Watertown Savings Bank","18","47","116","0","0","11080.00",60 Main Street,,Watertown,MA,02472,(617) 928-9000,support@watertownsavings.com
"Hobbs Brook Real Estate LLC","18","29","172","0","0","3520.00","404 Wyman Street, Suite 425",,Waltham,MA,02451-1228,(781) 890-2128,laura.mccann@hobbsbrook.com
"AstraZeneca R&D Boston","17","28","127","0","0","0.00",35 Gatehouse Drive,,Waltham,MA,02451,(781) 839-4000,kenneth.sutton@astrazeneca.com
"Bentley University","13","27","80","0","0","75.00",175 Forest St.,,Waltham,MA,02452-4705,(781) 891-2000,
"BXP","12","20","69","0","0","1095.00",800 Winter Street,,Waltham,MA,02451,(781) 530-1900,
"Brookline Bank","11","40","104","0","0","2140.00",456 Main Street,,Waltham,MA,02452,(781) 697-3500,
"Sanofi","11","14","85","0","0","3500.00",225 2nd Avenue,,Waltham,MA,02451-1122,(781) 290-5888,
"Nova Biomedical Corporation","10","16","50","0","0","0.00",PO Box 9141,200 Prospect Street,Waltham,MA,02453,(781) 894-0800,
"Brookline Bank","7","8","33","0","0","0.00",456 Main Street,,Waltham,MA,02452,(617) 851-9678,llorgeree@brkl.com
"Mount Auburn Healthcare at Waltham","6","5","20","0","0","0.00",355 Waverley Oaks Road,,Waltham,MA,02452,(781) 647-6920,
"Grand Banks Building Products","5","11","36","0","0","75.00",1484 Main St,,Waltham,MA,02451,(781) 375-1988,team@grandbanksbp.com
"Mount Auburn Hospital","5","9","25","0","0","2520.00",330 Mount Auburn Street,,Cambridge,MA,02138,(617) 492-3500,mdecourc@mah.harvard.edu
"Artis Senior Living of Lexington","5","6","11","0","0","1585.00",430 Concord,,Lexington,MA,02421,(781) 538-4534,awinn@artismgmt.com
"TD Bank","4","4","16","0","0","0.00","17 New England Executive Park, 2nd Floor",,Burlington,MA,01803,(781) 221-6311,marshall.sugarman@td.com
"Cambridge Savings Bank","4","22","35","0","0","1770.00",54 Arsenal Street,,Watertown,MA,02472,(617) 441-7081,esimonyan@cambridgesavings.com
"Connors & Connors LLP","4","20","21","0","0","1815.00",689 Main Street,,Waltham,MA,02451,(781) 894-6000,mconnors@connorslaws.com
"The Village Bank","3","7","32","0","0","750.00",,,Newton,MA,02464,(617) 969-4300,
"Waltham Community Access Corporation","3","34","67","0","0","655.00","400 Main Street, Suite One",,Waltham,MA,02452-6124,(781) 899-8834,maria@wcac.org
"Hillcrest Consultants, Inc.","3","5","5","0","0","900.00",260 Bear Hill Road,,Waltham,MA,02451-1004,(781) 890-9222,dmessina@hc-re.com
"Courtyard by Marriott","3","16","37","0","0","1010.00",387 Winter Street,,Waltham,MA,02453-3537,(781) 419-0900,courtyardwaltham@plhghotels.com
"Waltham Tourism ","2","4","7","0","0","2500.00",,,Waltham,MA,02453-3537,(781) 894-4700,mrichards@walthamchamber.com
"The Chateau Restaurant, Incorporated","2","13","13","0","0","545.00",195 School Street,,Waltham,MA,02451-4545,(781) 894-3339,joe@chateaurestaurant.com
"Joyce Funeral Home","2","2","2","0","0","600.00",245 Main Street,,Waltham,MA,02453-6612,(781) 894-2895,
"Johnson Compound and Wellness","2","3","3","0","0","400.00",577 Main Street,,Waltham,MA,02452-5527,(781) 893-3870,john@naturalcompounder.com
"128 Business Council","2","6","11","0","0","1175.00","395 Totten Pond Road, Suite 302",,Waltham,MA,02451,(781) 890-0093,mtibbits@128bc.org
"Merrimack Valley Credit Union","2","4","13","0","0","1100.00",600 Main Street,,Waltham,MA,02452-5551,(781) 736-9945,nross@rtn.org
"FASTSIGNS of Waltham","2","11","25","0","0","2740.00",922 Main Street,,Waltham,MA,02451,(781) 642-7446,401@fastsigns.com
"Rockland Trust","2","28","57","0","0","2900.00",1290 Main Street,,Waltham,MA,02451,(781) 788-8383,
"TD Bank","2","18","45","0","0","285.00",751 Main Street,,Waltham,MA,02451-1102,(781) 902-4352,Nerimane.Berisha@td.com
"Bird Precision","1","0","0","0","0","0.00",PO Box 540469,One Spruce Street,Waltham,MA,02454-0569,(781) 894-0160,sales@birdprecision.com
"Hub International New England, LLC","1","1","1","0","0","0.00",PO Box 696,300 Ballardvale Street,Wilmington,MA,01887,(978) 657-5100,bob.britt@hubinternational.com
"Edward Jones ","1","6","14","0","0","1435.00","130 Rumford Avenue, Suite 101",,Newton,MA,02466,(617) 527-4505,
"Joseph M. Connors, Jr., PC, Attorney at Law","1","1","1","0","0","400.00",404 Main Street,,Waltham,MA,02452,(781) 893-8200,joeconnors13@verizon.net
"Hampton Inn & Suites Boston / Waltham","1","14","15","0","0","940.00",135 Second Avenue,,Waltham,MA,02451,(781) 466-6644,robert.sighinolfi@hilton.com
"Fully Promoted","1","3","6","0","0","950.00",1191 Chestnut Street,,Newton,MA,02464,(617) 795-1888,alex.taggard@fullypromoted.com
"Brelundi Restaurant","1","4","7","0","0","800.00",16 Felton Street,,Waltham,MA,02453,(781) 788-8807,mc@mcolomba.com
"The Westin Waltham-Boston","1","0","0","0","0","0.00",70 Third Avenue,,Waltham,MA,02451-7523,(781) 290-5600,mark.fischer@westinwalthamboston.com
"Marcou Jewelers Inc.","1","3","5","0","0","165.00",318 Moody Street,,Waltham,MA,02453,(781) 899-2220,rosehorse@aol.com
"Frederick Brasco Florist Inc.","1","2","2","0","0","400.00",229 High Street,,Waltham,MA,02453-5835,(781) 894-6161,brucebrascoflorist@hotmail.com
"Gelineau & Associates R.E.","1","3","26","0","0","2055.00",84 Prospect Street,,Waltham,MA,02453,(781) 710-1749,glenna.gelineau@gmail.com
"Everett & Sons Insurance Agency, Inc.","1","1","4","0","0","1800.00",76 Weston Street,,Waltham,MA,02453-7759,(781) 893-0885,curtjr@everettandsons.com
"Duffy Properties LLC","1","15","29","0","0","2340.00",465 Waverley Oaks Road,,Waltham,MA,02452-8414,(781) 647-5775,kevinduffy@duffyproperties.com
"SERVPRO of Lexington/Bedford","1","1","1","0","0","200.00","50 Sun Street, Suite 1",,Waltham,MA,02453,(781) 861-0500,steve@servprooflexington.com
"tonneson + co","1","2","2","0","0","30.00","401 Edgewater Place, Suite 300",,Wakefield,MA,01880,(781) 451-9224,tf@fulchino.com
"SERVPRO of Waltham/Weston/Watertown/Wayland","1","25","32","0","0","1100.00","50 Sun Street, Suite 1",,Waltham,MA,02453,(781) 861-0500,steve@servprooflexington.com
"Home Instead Senior Care","1","5","8","0","0","110.00","440 Totten Pond Rd., Suite 300",,Waltham,MA,02451-2015,(781) 314-0153,meaghan.moore@homeinstead.com
"Watertown Ford","1","1","1","0","0","250.00",625 Pleasant Sreeet,,Watertown,MA,024,(617) 924-3673,peterking@watertownford.com
"East Cambridge Savings Bank","1","31","44","0","0","1640.00",860 Lexington Street,,Waltham,MA,02452,(617) 551-2530,msatyal@ecsb.com
"LeBlanc Mechanical","1","3","3","0","0","60.00",1250 Main Street,,Waltham,MA,02451,(617) 719-5572,randyhoudini@yahoo.com
"Waltham Historical Society","0","1","1","0","0","0.00",190 Moody Street,,Waltham,MA,02453-5322,(781) 891-5815,president@walthamhistoricalsociety.org
"Boston Language Hub","0","3","4","0","0","0.00","321 Walnut Street, #321",,Newton,MA,02460,(617) 910-0127,info@bostonlanguagehub.com
"KJ Fitness/Get In Shape For Women","0","11","11","0","0","750.00","442 Marrett Rd., Suite #3",,Lexington,AL,02421,(781) 862-4567,GISFWLEX@gmail.com
"Del's Coffee Roasters","0","3","5","0","0","675.00","100 Felton St., Suite 105",,Waltham,MA,02453,(857) 998-9219,info@delscoffee.com
"Bridging Independent Living Together, Inc.","0","3","5","0","0","100.00","303 Wyman Street, Suite 300",,Waltham,MA,02451,(978) 206-1306,info@BILTNE.org
"Auburndale Builders","0","2","5","0","0","80.00",151R ADAMS ST,,NEWTON,MA,02458,(617) 461-4171,vision@auburndalebuilders.com
"M&T Bank","0","4","5","0","0","85.00",775 Main Street,,Waltham,MA,02451,(781) 647-2210,Tina.Disney@peoples.com
"CROSS Digital Marketing Agency","0","1","1","0","0","0.00",7 Hilltop Drive,,Burlington,MA,01803,(888) 863-1150,vmogili@gmail.com
"Anonymous","0","1","1","0","0","35.00",,,Waltham,MA,02453-3537,,
"Foundation Optical, LLC","0","1","1","0","0","30.00",9 HOPE AVE,,WALTHAM,Massachusetts,02453-2741,(781) 216-1444,Robert.Platt@childrens.harvard.edu
"The Muscular Therapist","0","1","3","0","0","0.00",436 Boston Post Rd,,weston,MA,02943,(781) 400-0986,Daniel@themusculartherapist.com
"Brandeis University","0","10","13","0","0","270.00","PO Box 9110, Mail Stop 136, 415 South St",,Waltham,MA,02454-9110,(781) 736-2000,dine@brandeis.edu
"BEFORM Performance Physical Therapy","0","1","1","0","0","10.00",40 Jones Road,,Waltham,MA,02451,(207) 272-4005,brittny@be-physicaltherapy.com
"Paws and Pillows","0","6","6","0","0","180.00",24 Villa Street,,Waltham,MA,02453,(617) 413-9428,info@pawsandpillows.com
"CertaPro Painters of Newton","0","1","1","0","0","10.00",87 Athelstane Rd,# Chin,Newton Center,MA,02459,(617) 992-7188,jchin@certapro.com
"Automec, Inc.","0","2","3","0","0","30.00",PO Box 519,,Waltham,MA,02454-0519,(781) 893-3403,ljones@automec.com
"Mazie Mentoring Program, Big Brothers Big Sisters","0","8","8","0","0","180.00",233 Cochituate Road,,Framingham,MA,01701,(508) 450-2362,agumatay@bbbscm.org
"WCI","0","1","3","0","0","150.00","610 Lincoln St., Suite 120, North Bldg.",,Waltham,MA,02451,(781) 899-8220,nshargreaves@wearewci.org
"Waltham Arts Council","0","11","14","0","0","510.00",119 School Street,,Waltham,MA,02451,(781) 893-2787,
"Waltham Boys & Girls Club Incorporated","0","16","33","0","0","895.00",20 Exchange Street,,Waltham,MA,02451-4404,(781) 893-6620,eyoung@walthambgc.org
"Ideal Concrete Block","0","1","1","0","0","200.00",P.O. Box 747,,Westford,MA,01886,(781) 894-3200,info@idealconcreteblock.com
"Inspired Technology and Communications","0","2","2","0","0","30.00",50 Oliver Street,,N. Easton,MA,02356,(508) 233-0089,
"Drawings By Donna","0","10","12","0","0","315.00","107 Clocktower Drive, Unit 3406",,Waltham,MA,02452 ,(781) 893-4765,donnalaswell@verizon.net
"MAPA Translations Inc.","0","7","8","0","0","295.00",216 Concord Road,,Wayland,MA,01778,(774) 999-9603,info@mapatranslation.com
"Leader Bank ","0","1","3","0","0","75.00",,,Waltham,MA,02453-3537,,
"S.M.Hankins Consulting","0","4","4","0","0","25.00",103 Seminole Ave,,Waltham,MA,02451,(781) 856-7165,sarahmhankins@gmail.com
"Boston Managed IT","0","1","1","0","0","10.00",282 MOODY ST,STE 312,Waltham,MA,02453,(617) 322-5155,nicholas.salem@bostonmit.com
"Sue's Strategies LLC","0","16","16","0","0","470.00",43 Raffaele Drive,,Waltham,MA,02452,(781) 891-1677,susanbkahn@gmail.com
"Waltham Fields Community Farm","0","10","17","0","0","405.00",PO Box 540370,,Waltham,MA,02454,(781) 899-2403,stacey@communityfarms.org
"Craft Food Halls","0","5","7","0","0","195.00",200 5th Ave.,,Waltham,MA,02451,(781) 790-8121,info@craftfoodhallproject.com
"Big Brothers Big Sisters of Eastern Massachusetts","0","4","4","0","0","55.00",184 High Street,3rd Floor,Boston,MA,02110,(617) 956-0225,mwright@emassbigs.org
"Lizzy's Homemade Ice Cream","0","3","7","0","0","200.00",367 Moody Street,,Waltham,MA,02453-5208,(781) 893-6677,Miriam.Benitez@lizzysicecream.com
"Grit Per4mance","0","1","1","0","0","0.00","580 Moody Street, Unit 5",,Waltham,MA,02453,(781) 654-5460,i_barrera@ymail.com
"Boston Area Rape Crisis Center","0","2","2","0","0","35.00",99 Bishop Allen Drive,,Cambridge,MA,02139,(617) 492-8306,info@barcc.org
"Girl Scouts of Eastern MA","0","8","12","0","0","420.00",265 Beaver Street,,Waltham,MA,02452,(844) 306-4736,bfortier@girlscoutseasternmass.org
"Gore Place","0","29","32","0","0","845.00",52 Gore Street,,Waltham,MA,02453-6866,(781) 894-2798,susanrobertson@goreplace.org
"ROI Business Advisors","0","3","3","0","0","20.00",17 Browning Road,,Arlington,MA,02476,(781) 819-5050,Bob@ROIBusinessAdvisors.com
"City Council","0","1","1","0","0","30.00",147 Trapelo Road,,Waltham,MA,02452,(781) 894-1247,kbmc147@aol.com
"REACH","0","21","27","0","0","575.00",PO Box 540024,,Waltham,MA,02454-0024,(781) 891-0724,info@reachma.org
"Hakata Nagahama Ramen Inc.","0","1","1","0","0","0.00",895 Main St,,Waltham,MA,02451,(781) 899-0126,seanzheng89@gmail.com
"Uncle Joeys Cannoli","0","5","5","0","0","0.00","414 River Street, Apt. 4",,Waltham,MA,02453,(617) 909-6360,unclejoeys@yahoo.com
"EH Electric & HVAC LLC ","0","14","24","0","0","530.00","440 Totten Pond Rd., Suite 200",,Waltham,MA,02451,(781) 530-0650,Office@EHElectrical.com
"Pizzeria Enzina","0","3","3","0","0","0.00",1056 Main St,,Waltham,MA,02451,(781) 956-3330,
"ConnectPay Payroll Services","0","2","2","0","0","35.00",157 Summer Street,,Watertown,MA,,1-774-285-2697,
"Patio Records","0","4","4","0","0","205.00",240 Mokema Ave,,Waltham,MA,02451,(617) 930-9723,terryeagan@patiorecords.com
"Waltham Chamber of Commerce","0","1","1","0","0","1230.00",,84 south street,Waltham,Massachusetts,02453,(781) 894-4700,mrichards@walthamchamber.com
"Executive Protection Programs/Combined Martial Arts Inc.","0","3","3","0","0","70.00",8 Graham Road,,Lexington,MA,02420,(781) 862-1690,cleve77@verizon.net
"Metro West Home Team @ Central Square Realty Group","0","18","19","0","0","560.00",9 Church Street,,Waltham,MA,02452,(781) 647-1552,stewart@MetroWestHomeTeam.com
"Murgo Team","0","1","4","0","0","300.00",,,Waltham,MA,02453-3537,,
"Watch City Arts","0","7","8","0","0","145.00",487 Moody Street,1-2,Waltham,MA,02453-0402,(781) 858-1590,watchcityarts@gmail.com
